Date,Ticker,Shares,Price,Value,Weight
2024-07-01,TXRH,67,166.61328125,11163.08984375,0.10149217906729116
2024-07-01,THC,84,133.3000030517578,11197.200256347656,0.10180230289070182
2024-07-01,CENX,101,16.670000076293945,1683.6700077056885,0.015307530469081128
2024-07-01,SHAK,47,86.56999969482422,4068.7899856567383,0.03699247856924467
2024-07-01,RDNT,84,58.54999923706055,4918.199935913086,0.04471511342927158
2024-07-01,MOG-A,24,161.8027801513672,3883.2667236328125,0.03530574484282731
2024-11-01,CASH,1,,126.18231868234761,0.0010386944786122542
2024-11-01,SFM,94,130.2100067138672,12239.740631103516,0.1007538230865608
2024-11-01,THC,79,156.1300048828125,12334.270385742188,0.10153196328269191
2024-11-01,ADMA,222,19.3700008392334,4300.140186309814,0.035397446452246274
2024-11-01,LUMN,1037,7.0,7259.0,0.059753880725772014
2024-11-01,PPC,254,42.50100326538086,10795.254829406738,0.08886325519777993
2024-11-01,CORT,120,47.619998931884766,5714.399871826172,0.04703920214361041
2024-11-01,AKR,158,23.068538665771484,3644.8291091918945,0.030003124928567892
2024-11-01,CTRE,249,30.716114044189453,7648.312397003174,0.06295858199806738
2024-11-01,FYBR,274,36.13999938964844,9902.359832763672,0.08151321509169805
2024-11-01,KTB,64,78.79446411132812,5042.845703125,0.0415111724291229
2024-11-01,CWEN,232,25.696008682250977,5961.474014282227,0.04907304135544971
2024-11-01,OHI,331,37.265262603759766,12334.801921844482,0.10153633872625963
2024-11-01,DOCS,205,42.349998474121094,8681.749687194824,0.07146552352936328
2024-11-01,SBRA,287,17.131685256958008,4916.793668746948,0.04047355041128752
2024-11-01,IBKR,277,38.19312286376953,10579.49503326416,0.08708718616291004
2025-03-03,CASH,1,,408.9567416059472,0.003265192103766511
2025-03-03,SFM,83,146.97000122070312,12198.51010131836,0.0973953350276828
2025-03-03,ADMA,208,15.829999923706055,3292.6399841308594,0.02628909364474853
2025-03-03,CORT,91,59.06999969482422,5375.369972229004,0.04291802482390111
2025-03-03,DOCS,163,68.44999694824219,11157.349502563477,0.08908250137085816
2025-03-03,IBKR,250,50.17955017089844,12544.88754272461,0.10016088153062395
2025-03-03,VIRT,180,35.8072624206543,6445.307235717773,0.051460617105300185
2025-03-03,DTM,87,91.72007751464844,7979.646743774414,0.06371108943283763
2025-03-03,PAYO,311,8.350000381469727,2596.850118637085,0.02073376873246202
2025-03-03,CALM,40,83.27847290039062,3331.138916015625,0.026596476787278327
2025-03-03,CRK,247,18.0,4446.0,0.03549774980194335
2025-03-03,DUOL,41,295.2300109863281,12104.430450439453,0.09664418435104007
2025-03-03,TKO,70,145.9492950439453,10216.450653076172,0.08157017749590613
2025-03-03,JEF,181,62.41258239746094,11296.67741394043,0.09019492317438636
2025-03-03,GWRE,63,196.30999755859375,12367.529846191406,0.0987448223455172
2025-03-03,CIEN,127,74.69000244140625,9485.630310058594,0.0757351622717477
2025-07-01,CASH,1,,51.09691363469619,0.00036931285128264697
2025-07-01,SFM,86,162.10000610351562,13940.600524902344,0.10075839345701923
2025-07-01,CORT,109,69.30999755859375,7554.789733886719,0.054603707719208174
2025-07-01,IBKR,249,56.179019927978516,13988.57596206665,0.10110514523183975
2025-07-01,CRK,316,25.260000228881836,7982.16007232666,0.057692609709869926
2025-07-01,CIEN,141,80.11000061035156,11295.51008605957,0.08164048941190731
2025-07-01,TXNM,106,55.29713821411133,5861.496650695801,0.042365103621097064
2025-07-01,EXEL,268,43.619998931884766,11690.159713745117,0.0844928961208561
2025-07-01,CHWY,335,41.86000061035156,14023.100204467773,0.10135467588824468
2025-07-01,AM,491,17.508169174194336,8596.511064529419,0.062132950632235555
2025-07-01,UGI,219,34.36098098754883,7525.054836273193,0.05438879298093733
2025-07-01,EYE,74,24.200000762939453,1790.8000564575195,0.01294335465456306
2025-07-01,USFD,181,77.41999816894531,14013.019668579102,0.10128181686043494
2025-07-01,SLM,196,33.07604217529297,6482.904266357422,0.04685644765783184
2025-07-01,PPC,231,43.49106979370117,10046.43712234497,0.07261257236416863
2025-07-01,OPCH,110,31.950000762939453,3514.50008392334,0.02540173083850386
2025-11-03,CASH,1,,12.53364057392028,9.134497257652623e-05
2025-11-03,CIEN,75,189.55999755859375,14216.999816894531,0.10361326788777671
2025-11-03,EYE,91,26.3799991607666,2400.5799236297607,0.01749538819136036
2025-11-03,LITE,71,199.5800018310547,14170.180130004883,0.10327204675655365
2025-11-03,PARR,58,41.209999084472656,2390.179946899414,0.017419593326841367
2025-11-03,BWXT,65,215.55323791503906,14010.960464477539,0.10211165637392998
2025-11-03,FLEX,222,63.900001525878906,14185.800338745117,0.1033858865886919
2025-11-03,NVT,126,112.14851379394531,14130.71273803711,0.1029844090334435
2025-11-03,MIR,289,29.40999984741211,8499.4899559021,0.06194414722182344
2025-11-03,FIVE,64,158.44000244140625,10140.16015625,0.07390132547135315
2025-11-03,MTZ,70,201.61000061035156,14112.70004272461,0.10285313279732954
2025-11-03,CAR,42,132.27000427246094,5555.340179443359,0.040487230613619446
2025-11-03,BTSG,211,33.4900016784668,7066.390354156494,0.05149974018391378
2025-11-03,WT,166,11.969619750976562,1986.9568786621094,0.014480910037406739
2025-11-03,ACM,108,131.35121154785156,14185.930847167969,0.10338683773199588
2025-11-03,CVI,4,36.810001373291016,147.24000549316406,0.0010730828113841354
=======
2024-03-01,CASH,1,,754.3578108670226,0.007503902819088267
2024-03-01,SMCI,77,90.5479965209961,6972.195732116699,0.0693552561606449
2024-03-01,VST,131,53.66168975830078,7029.681358337402,0.06992708897849403
2024-03-01,BRBR,95,59.72999954223633,5674.349956512451,0.05644505832878965
2024-03-01,AROC,148,17.320619583129883,2563.4516983032227,0.02549969278290543
2024-03-01,DECK,46,150.54833984375,6925.2236328125,0.06888800565523534
2024-03-01,GAP,313,18.00086784362793,5634.271635055542,0.05604638302506453
2024-03-01,CNM,143,48.970001220703125,7002.710174560547,0.06965879568443419
2024-03-01,TOL,61,115.09076690673828,7020.536781311035,0.0698361241653258
2024-03-01,XPO,58,120.5999984741211,6994.799911499023,0.06958010909243234
2024-03-01,HCC,44,56.99481201171875,2507.771728515625,0.024945821561268997
2024-03-01,MTG,184,19.09168815612793,3512.870620727539,0.03494394751964262
2024-03-01,SFM,81,63.38999938964844,5134.589950561523,0.051075846832681404
2024-03-01,NBIX,53,131.3000030517578,6958.900161743164,0.06922299973462251
2024-03-01,HRB,109,45.48377227783203,4957.731178283691,0.049316560959640904
2024-03-01,GDDY,61,113.72000122070312,6936.920074462891,0.06900435489986341
2024-03-01,NVT,104,67.33995819091797,7003.355651855469,0.06966521650864153
2024-03-01,BWXT,69,100.65232849121094,6945.010665893555,0.06908483529122421
2025-02-03,CASH,1,,44.556476098646726,0.00034662591946403815
2025-02-03,SFM,59,159.75,9425.25,0.07332348142154024
2025-02-03,ADMA,316,16.469999313354492,5204.5197830200195,0.040488423078253316
2025-02-03,DTM,96,98.56586456298828,9462.322998046875,0.07361188982275303
2025-02-03,JEF,131,72.57093811035156,9506.792892456055,0.07395784218226917
2025-02-03,IBKR,171,55.57658004760742,9503.59518814087,0.07393296572669016
2025-02-03,CALM,65,98.22918701171875,6384.897155761719,0.04967113742117605
2025-02-03,CIEN,111,85.12000274658203,9448.320304870605,0.07350295624401913
2025-02-03,VIRT,245,38.86140441894531,9521.044082641602,0.07406870893687034
2025-02-03,UNM,127,74.48481750488281,9459.571823120117,0.07359048713066216
2025-02-03,WWW,113,21.415021896362305,2419.8974742889404,0.018825527969874252
2025-02-03,PAYO,484,10.680000305175781,5169.120147705078,0.04021303255785923
2025-02-03,FTDR,101,58.189998626708984,5877.189861297607,0.04572144204193203
2025-02-03,CRK,395,18.610000610351562,7350.950241088867,0.05718652167668193
2025-02-03,DOCS,160,59.099998474121094,9455.999755859375,0.07356269832851585
2025-02-03,EXEL,289,32.880001068115234,9502.320308685303,0.07392304783591007
2025-02-03,LITE,97,84.30999755859375,8178.069763183594,0.06362107597621838
2025-02-03,SEIC,31,84.80603790283203,2628.987174987793,0.02045213572931063
2026-01-02,CASH,1,,68.38111290278357,0.0004169693375618496
2026-01-02,CIEN,48,246.05999755859375,11810.8798828125,0.07201951754953717
2026-01-02,LITE,31,386.1099853515625,11969.409545898438,0.072986188108041
2026-01-02,NVRI,91,17.899999618530273,1628.8999652862549,0.009932586801351714
2026-01-02,VIAV,257,18.149999618530273,4664.54990196228,0.028443150456041046
2026-01-02,ROIV,548,21.93000030517578,12017.640167236328,0.0732802852552759
2026-01-02,NXT,129,92.77999877929688,11968.619842529297,0.07298137271272608
2026-01-02,ELAN,534,22.520000457763672,12025.6802444458,0.0733293114487037
2026-01-02,CTRE,252,36.310001373291016,9150.120346069336,0.05579493309411208
2026-01-02,PRIM,58,130.61000061035156,7575.380035400391,0.046192597064497055
2026-01-02,AMKR,257,42.91999816894531,11030.439529418945,0.06726060557301392
2026-01-02,NVT,112,106.61893463134766,11941.320678710938,0.07281490987276738
2026-01-02,ULS,148,80.91000366210938,11974.680541992188,0.07301832920162961
2026-01-02,BTSG,199,38.400001525878906,7641.600303649902,0.04659639016193351
2026-01-02,APG,308,38.970001220703125,12002.760375976562,0.07318955235489939
2026-01-02,OHI,274,43.871097564697266,12020.68073272705,0.07329882579263572
2026-01-02,DINO,208,46.849998474121094,9744.799682617188,0.05942112515937728
2026-01-02,ORI,110,43.27000045776367,4759.700050354004,0.029023350055895666
>>>>>>> e659b3b (Update momentum strategy files and comparisons)
